POINT;DATE;MARKER;LONGITUDE;LATITUDE;NB_SATELLITE;HDOP;COUNT_CO2_100;CO2_100;COUNT_P_atm;P_atm;COUNT_CO2_10;CO2_10;COUNT_T_atm;T_atm ;COUNT_SP;SP ;COUNT_SO2;SO2;COUNT_H2S;H2S ;COUNT_PYR;PYR ;COUNT_V_FLUX;V_FLUX;COUNT_P_in;P_in;COUNT_Rh;Rh;COUNT_T_in;T_in;COUNT_V_BAT;V_BAT;PUMP_FLUX;Thermocouple
;;;;;;;5268;0;7266;0;5240;0;492;-273.15;65535; nan ;65535; nan ;500;1;1000;2;65535; nan ;65535; nan ;65535; nan ;65535; nan ;1934;9;;
;;;;;;;26168;10;23651;1100;26256;100;65535;226.85;65535; nan ;65535; nan ;26000;5;30000;5;65535; nan ;65535; nan ;65535; nan ;65535; nan ;3284;15;;
;;;;;;;  ;0;  ;0;  ;0;  ;0;  ; nan ;  ; nan ;  ;0;  ;5;  ; nan ;  ; nan ;  ; nan ;  ; nan ;  ;0;;
P8;10/09/2018 07:23;0;38.793385;15.215723;7;121;7002;8.338;17411;923.701;21697;8.253;39180;16.662;32045;-41.3;416;-56.571;417;-18.512;417;1.43;3340;1726;1851;1636;3009;2.685;939.109;68.865;27.8;12.793;0.938;-99.9
P9;10/09/2018 07:23;0;38.793385;15.215723;7;124;7000;8.329;17411;923.701;21662;8.236;39180;16.662;32055;-40.9;416;-56.571;417;-18.512;418;1.43;3479;1755;1848;1636;3008;2.796;947.039;68.716;27.8;12.789;1.043;-99.9
P10;10/09/2018 07:23;0;38.793377;15.21572;7;124;7022;8.435;17396;923.331;21724;8.266;39181;16.662;32071;-40.2;416;-56.571;417;-18.512;417;1.43;3357;1663;1848;1636;3009;2.698;921.883;68.716;27.8;12.793;0.951;-99.9
P11;10/09/2018 07:24;0;38.793377;15.21572;7;123;7029;8.468;17407;923.602;21802;8.305;39182;16.663;32053;-41;417;-56.56;417;-18.512;418;1.43;3326;1694;1848;1636;3008;2.673;930.359;68.716;27.8;12.789;0.927;-99.9
P12;10/09/2018 07:24;0;38.793377;15.21572;7;123;7021;8.43;17410;923.676;21808;8.308;39181;16.662;32073;-40.1;417;-56.56;418;-18.507;418;1.43;3352;1742;1844;1638;3008;2.694;943.484;68.518;27.9;12.789;0.947;-99.9
P13;10/09/2018 07:24;0;38.793377;15.21572;7;123;7011;8.382;17413;923.75;21706;8.257;39180;16.662;32074;-40.1;417;-56.56;418;-18.507;418;1.43;3330;1722;1844;1637;3009;2.677;938.016;68.518;27.85;12.793;0.93;-99.9
P14;10/09/2018 07:24;0;38.793377;15.21572;7;123;7024;8.444;17414;923.775;21705;8.257;39180;16.662;32066;-40.4;417;-56.56;418;-18.507;419;1.43;3334;1700;1840;1638;3010;2.68;932;68.32;27.9;12.797;0.933;-99.9
P15;10/09/2018 07:24;0;38.793377;15.21572;7;123;7034;8.492;17416;923.825;21746;8.277;39179;16.661;32059;-40.7;418;-56.548;418;-18.507;419;1.43;3487;1687;1841;1637;3008;2.802;928.445;68.369;27.85;12.789;1.049;-99.9
P16;10/09/2018 07:24;0;38.793373;15.215716;7;123;7021;8.43;17421;923.948;21870;8.339;39179;16.661;32054;-40.9;418;-56.548;418;-18.507;419;1.43;3507;1739;1835;1637;2992;2.818;942.664;68.073;27.85;12.724;1.065;-99.9
P17;10/09/2018 07:25;0;38.793373;15.215716;7;123;7025;8.449;17415;923.8;21864;8.336;39178;16.661;32030;-42;418;-56.548;419;-18.503;419;1.43;3424;1704;1830;1637;2992;2.752;933.094;67.825;27.85;12.724;1.002;-99.9
P18;10/09/2018 07:25;0;38.793373;15.215716;7;123;7025;8.449;17420;923.923;21999;8.404;39178;16.661;32095;-39.1;418;-56.548;419;-18.503;419;1.43;3349;1697;1829;1638;3005;2.692;931.18;67.775;27.9;12.776;0.944;-99.9
P19;10/09/2018 07:25;0;38.793373;15.215716;7;123;7002;8.338;17432;924.22;22071;8.44;39177;16.66;32052;-41;419;-56.536;419;-18.503;420;1.43;3332;1692;1819;1639;3007;2.678;929.812;67.281;27.95;12.785;0.932;-99.9
P20;10/09/2018 07:25;0;38.793373;15.215716;7;123;6986;8.261;17418;923.874;21903;8.356;39175;16.659;32035;-41.8;418;-56.548;420;-18.498;420;1.43;3341;1688;1819;1640;3007;2.685;928.719;67.281;28;12.785;0.938;-99.9
P21;10/09/2018 07:25;0;38.793377;15.215716;7;122;7002;8.338;17423;923.997;21731;8.27;39172;16.658;32041;-41.5;419;-56.536;420;-18.498;420;1.43;3328;1691;1817;1639;3007;2.675;929.539;67.182;27.95;12.785;0.928;-99.9
P22;10/09/2018 07:25;0;38.793377;15.215716;7;123;6994;8.3;17417;923.849;21678;8.244;39171;16.657;32076;-40;419;-56.536;420;-18.498;420;1.43;3514;1745;1814;1641;3008;2.823;944.305;67.033;28.05;12.789;1.07;-99.9
P23;10/09/2018 07:26;0;38.793377;15.215716;7;122;6976;8.213;17424;924.022;21571;8.19;39167;16.655;32050;-41.1;419;-56.536;420;-18.498;420;1.43;3369;1659;1812;1641;3008;2.708;920.789;66.934;28.05;12.789;0.96;-99.9
P24;10/09/2018 07:26;0;38.793377;15.215716;7;122;6974;8.203;17423;923.997;21449;8.129;39165;16.654;32051;-41.1;419;-56.536;420;-18.498;420;1.43;3346;1776;1811;1641;3008;2.689;952.781;66.884;28.05;12.789;0.942;-99.9
P25;10/09/2018 07:26;0;38.793377;15.215716;7;122;6973;8.198;17420;923.923;21442;8.126;39165;16.654;32059;-40.7;419;-56.536;420;-18.498;421;1.43;3362;1697;1807;1642;3015;2.702;931.18;66.687;28.1;12.817;0.954;-99.9
P26;10/09/2018 07:26;0;38.793377;15.215716;7;122;6994;8.3;17423;923.997;21371;8.09;39161;16.652;32048;-41.2;419;-56.536;420;-18.498;421;1.43;3354;1769;1807;1642;3022;2.696;950.867;66.687;28.1;12.846;0.948;-99.9
P27;10/09/2018 07:26;0;38.793377;15.215716;7;122;6955;8.112;17418;923.874;21400;8.105;39161;16.652;32055;-40.9;420;-56.524;421;-18.494;420;1.43;3513;1744;1805;1644;3006;2.823;944.031;66.588;28.2;12.78;1.069;-99.9
P28;10/09/2018 07:26;0;38.793369;15.215714;7;122;6958;8.126;17412;923.726;21393;8.101;39161;16.652;32052;-41;420;-56.524;421;-18.494;421;1.43;3347;1680;1800;1643;3007;2.69;926.531;66.34;28.15;12.785;0.943;-99.9
P29;10/09/2018 07:27;0;38.793369;15.215714;7;122;6968;8.174;17422;923.973;21373;8.091;39160;16.652;32054;-40.9;420;-56.524;421;-18.494;421;1.43;3408;1688;1799;1644;3007;2.739;928.719;66.29;28.2;12.785;0.989;-99.9
P30;10/09/2018 07:27;0;38.793369;15.215714;7;122;6969;8.179;17419;923.899;21351;8.08;39161;16.652;32056;-40.8;421;-56.512;421;-18.494;421;1.43;3345;1694;1796;1645;3007;2.688;930.359;66.142;28.25;12.785;0.941;-99.9
P31;10/09/2018 07:27;0;38.793369;15.215714;7;122;6952;8.097;17419;923.899;21479;8.144;39160;16.652;32059;-40.7;420;-56.524;421;-18.494;421;1.43;3381;1665;1800;1644;3008;2.717;922.43;66.34;28.2;12.789;0.969;-99.9
P32;10/09/2018 07:27;0;38.793373;15.215714;7;121;6996;8.309;17421;923.948;21702;8.255;39158;16.651;32051;-41.1;421;-56.512;421;-18.494;422;1.43;3337;1691;1792;1646;3008;2.682;929.539;65.944;28.3;12.789;0.935;-99.9
P33;10/09/2018 07:27;0;38.793373;15.215714;7;121;7043;8.536;17420;923.923;21846;8.327;39157;16.65;32052;-41;421;-56.512;421;-18.494;422;1.43;3382;1661;1789;1645;3008;2.718;921.336;65.796;28.25;12.789;0.97;-99.9
P34;10/09/2018 07:27;0;38.793373;15.215714;7;121;7053;8.584;17422;923.973;21781;8.295;39158;16.651;32060;-40.7;421;-56.512;422;-18.489;422;1.43;3348;1693;1787;1646;3008;2.691;930.086;65.697;28.3;12.789;0.944;-99.9
P35;10/09/2018 07:28;0;38.793373;15.215714;7;121;7036;8.502;17424;924.022;21833;8.321;39156;16.65;32053;-41;421;-56.512;422;-18.489;422;1.43;3376;1666;1781;1646;2991;2.713;922.703;65.399;28.3;12.72;0.965;-99.9
P36;10/09/2018 07:28;0;38.793373;15.215714;7;121;7033;8.487;17426;924.072;21885;8.347;39155;16.649;32055;-40.9;421;-56.512;422;-18.489;422;1.43;3332;1694;1777;1647;3005;2.678;930.359;65.201;28.35;12.776;0.932;-99.9
P37;10/09/2018 07:28;0;38.793373;15.215714;7;121;7046;8.55;17431;924.195;21976;8.392;39155;16.649;32060;-40.7;421;-56.512;422;-18.489;422;1.43;3416;1689;1775;1647;3005;2.745;928.992;65.103;28.35;12.776;0.995;-99.9
P38;10/09/2018 07:28;0;38.793373;15.215714;7;121;7073;8.68;17431;924.195;21935;8.372;39153;16.648;32059;-40.7;421;-56.512;423;-18.485;423;1.43;3339;1706;1771;1650;3006;2.684;933.641;64.904;28.5;12.78;0.937;-99.9
P39;10/09/2018 07:28;0;38.793373;15.215714;7;121;7033;8.487;17431;924.195;21821;8.315;39153;16.648;32049;-41.2;421;-56.512;422;-18.489;423;1.43;3355;1676;1767;1650;3006;2.696;925.438;64.706;28.5;12.78;0.949;-99.9
P40;10/09/2018 07:28;0;38.793373;15.215714;7;121;7026;8.454;17425;924.047;21823;8.316;39153;16.648;32048;-41.2;422;-56.5;423;-18.485;423;1.43;3357;1695;1763;1651;3006;2.698;930.633;64.508;28.55;12.78;0.951;-99.9
P41;10/09/2018 07:29;0;38.793373;15.215714;7;121;7037;8.507;17423;923.997;21812;8.31;39153;16.648;32040;-41.5;422;-56.5;423;-18.485;423;1.43;3394;1673;1759;1650;3007;2.728;924.617;64.311;28.5;12.785;0.979;-99.9
P42;10/09/2018 07:29;0;38.793373;15.215714;7;121;7039;8.516;17429;924.146;21828;8.318;39153;16.648;32043;-41.4;422;-56.5;423;-18.485;423;1.43;3356;1717;1758;1651;3008;2.697;936.648;64.261;28.55;12.789;0.95;-99.9
P43;10/09/2018 07:29;0;38.793373;15.215714;7;121;7032;8.483;17426;924.072;21796;8.302;39152;16.648;32051;-41.1;422;-56.5;423;-18.485;423;1.43;3351;1723;1751;1652;3008;2.693;938.289;63.915;28.6;12.789;0.946;-99.9
P44;10/09/2018 07:29;0;38.793373;15.215714;7;120;7055;8.593;17428;924.121;21944;8.376;39152;16.648;32058;-40.8;423;-56.488;423;-18.485;423;1.43;3370;1737;1756;1652;3021;2.708;942.117;64.162;28.6;12.841;0.96;-99.9
P45;10/09/2018 07:29;0;38.793373;15.215715;7;120;7059;8.613;17428;924.121;21859;8.334;39153;16.648;32046;-41.3;423;-56.488;423;-18.485;424;1.43;3496;1768;1754;1654;3006;2.809;950.594;64.063;28.7;12.78;1.056;-99.9
P46;10/09/2018 07:29;0;38.793373;15.215715;7;120;7075;8.69;17430;924.17;22008;8.408;39151;16.647;32047;-41.2;423;-56.488;424;-18.48;424;1.43;3345;1697;1754;1654;3007;2.688;931.18;64.063;28.7;12.785;0.941;-99.9
P47;10/09/2018 07:30;0;38.793373;15.215715;8;94;7076;8.695;17422;923.973;22022;8.415;39150;16.647;32043;-41.4;423;-56.488;424;-18.48;424;1.43;3371;1734;1752;1654;3007;2.709;941.297;63.964;28.7;12.785;0.961;-99.9
P48;10/09/2018 07:30;0;38.793377;15.215715;8;94;7086;8.743;17428;924.121;22031;8.42;39149;16.647;32045;-41.3;423;-56.488;424;-18.48;424;1.43;3513;1695;1752;1655;3007;2.823;930.633;63.964;28.75;12.785;1.069;-99.9
P49;10/09/2018 07:30;0;38.793377;15.215716;8;94;7089;8.757;17420;923.923;21952;8.38;39150;16.647;32061;-40.6;423;-56.488;424;-18.48;424;1.43;3355;1714;1752;1655;3008;2.696;935.828;63.964;28.75;12.789;0.949;-99.9
P50;10/09/2018 07:30;0;38.793381;15.215718;8;94;7059;8.613;17427;924.096;21841;8.325;39150;16.647;32054;-40.9;423;-56.488;424;-18.48;425;1.43;3464;1694;1756;1657;3009;2.784;930.359;64.162;28.85;12.793;1.032;-99.9
P51;10/09/2018 07:30;0;38.793381;15.215718;8;94;7041;8.526;17427;924.096;21805;8.307;39150;16.647;32039;-41.6;423;-56.488;424;-18.48;424;1.43;3435;1706;1750;1658;3008;2.76;933.641;63.865;28.9;12.789;1.01;-99.9
P52;10/09/2018 07:30;0;38.793381;15.215718;8;94;7020;8.425;17430;924.17;21733;8.271;39150;16.647;32052;-41;423;-56.488;424;-18.48;424;1.43;3361;1719;1749;1657;3008;2.701;937.195;63.815;28.85;12.789;0.954;-99.9
P53;10/09/2018 07:31;0;38.793381;15.215718;8;94;7027;8.459;17427;924.096;21718;8.263;39151;16.647;32052;-41;424;-56.476;424;-18.48;425;1.43;3366;1751;1749;1658;3003;2.705;945.945;63.815;28.9;12.768;0.957;-99.9
P54;10/09/2018 07:31;0;38.793381;15.21572;8;94;7040;8.521;17431;924.195;21809;8.309;39149;16.647;32042;-41.5;423;-56.488;424;-18.48;425;1.43;3367;1735;1746;1659;3005;2.706;941.57;63.667;28.95;12.776;0.958;-99.9
P55;10/09/2018 07:31;0;38.793385;15.215722;8;94;7045;8.545;17434;924.269;21828;8.318;39151;16.647;32047;-41.2;424;-56.476;425;-18.476;425;1.43;3374;1664;1741;1660;3006;2.712;922.156;63.419;29;12.78;0.963;-99.9
P56;10/09/2018 07:31;0;38.793381;15.21572;8;94;7053;8.584;17437;924.343;21808;8.308;39151;16.647;32052;-41;424;-56.476;425;-18.476;425;1.43;3398;1707;1738;1661;3006;2.731;933.914;63.271;29.05;12.78;0.982;-99.9
P57;10/09/2018 07:31;0;38.793377;15.21572;8;94;7050;8.569;17434;924.269;21743;8.276;39151;16.647;32043;-41.4;424;-56.476;425;-18.476;425;1.43;3362;1669;1737;1662;3007;2.702;923.523;63.222;29.1;12.785;0.954;-99.9
P58;10/09/2018 07:31;0;38.793377;15.21572;8;94;7028;8.463;17432;924.22;21585;8.197;39152;16.648;32059;-40.7;424;-56.476;425;-18.476;425;1.43;3359;1789;1734;1663;3007;2.7;956.336;63.073;29.15;12.785;0.952;-99.9
P59;10/09/2018 07:32;0;38.793377;15.21572;8;94;7027;8.459;17432;924.22;21587;8.198;39152;16.648;32068;-40.3;424;-56.476;425;-18.476;425;1.43;3345;1788;1734;1663;3007;2.688;956.062;63.073;29.15;12.785;0.941;-99.9
P60;10/09/2018 07:32;0;38.793377;15.21572;8;94;7041;8.526;17433;924.244;21586;8.198;39153;16.648;32067;-40.4;424;-56.476;425;-18.476;425;1.43;3366;1779;1727;1663;3008;2.705;953.602;62.727;29.15;12.789;0.957;-99.9
P61;10/09/2018 07:32;0;38.793377;15.21572;8;94;7051;8.574;17435;924.294;21481;8.145;39155;16.649;32042;-41.5;425;-56.464;425;-18.476;425;1.43;3373;1754;1727;1664;3008;2.711;946.766;62.727;29.2;12.789;0.963;-99.9
P62;10/09/2018 07:32;0;38.793377;15.21572;8;94;7023;8.439;17439;924.393;21441;8.125;39155;16.649;32049;-41.2;425;-56.464;425;-18.476;426;1.43;3362;1705;1721;1665;3001;2.702;933.367;62.43;29.25;12.76;0.954;-99.9
P63;10/09/2018 07:32;0;38.793377;15.21572;8;94;7026;8.454;17435;924.294;21501;8.155;39155;16.649;32050;-41.1;424;-56.476;425;-18.476;426;1.43;3400;1674;1717;1666;3006;2.732;924.891;62.231;29.3;12.78;0.983;-99.9
P64;10/09/2018 07:32;0;38.793377;15.21572;8;94;7057;8.603;17441;924.442;21652;8.231;39157;16.65;32051;-41.1;425;-56.464;426;-18.471;427;1.43;3497;1776;1713;1666;3008;2.81;952.781;62.034;29.3;12.789;1.057;-99.9
P65;10/09/2018 07:33;0;38.793377;15.21572;8;94;7027;8.459;17433;924.244;21659;8.234;39157;16.65;32046;-41.3;426;-56.452;426;-18.471;426;1.43;3532;1749;1709;1666;3008;2.838;945.398;61.835;29.3;12.789;1.084;-99.9
P66;10/09/2018 07:33;0;38.793381;15.21572;8;94;7013;8.391;17432;924.22;21712;8.26;39158;16.651;32046;-41.3;425;-56.464;426;-18.471;427;1.43;3359;1699;1703;1669;3007;2.7;931.727;61.539;29.45;12.785;0.952;-99.9
P67;10/09/2018 07:33;0;38.793381;15.21572;8;94;7047;8.555;17434;924.269;21594;8.202;39159;16.651;32037;-41.7;425;-56.464;426;-18.471;426;1.43;3346;1703;1696;1669;3008;2.689;932.82;61.192;29.45;12.789;0.942;-99.9
P68;10/09/2018 07:33;0;38.793381;15.21572;8;94;7036;8.502;17427;924.096;21543;8.176;39160;16.652;32045;-41.3;426;-56.452;427;-18.467;427;1.43;3367;1787;1697;1669;3008;2.706;955.789;61.242;29.45;12.789;0.958;-99.9
P69;10/09/2018 07:33;0;38.793381;15.21572;8;94;7042;8.531;17439;924.393;21434;8.122;39161;16.652;32034;-41.8;425;-56.464;426;-18.471;427;1.43;3418;1700;1695;1670;3009;2.747;932;61.143;29.5;12.793;0.997;-99.9
P70;10/09/2018 07:33;0;38.793381;15.21572;8;94;7003;8.343;17432;924.22;21387;8.098;39162;16.653;32050;-41.1;426;-56.452;427;-18.467;427;1.43;3382;1703;1695;1670;3009;2.718;932.82;61.143;29.5;12.793;0.97;-99.9
P71;10/09/2018 07:34;0;38.793381;15.21572;8;94;7007;8.362;17439;924.393;21306;8.058;39163;16.653;32053;-41;426;-56.452;427;-18.467;427;1.43;3445;1733;1691;1673;3022;2.768;941.023;60.944;29.65;12.846;1.017;-99.9
P72;10/09/2018 07:34;0;38.793381;15.21572;8;94;7006;8.357;17438;924.368;21189;8;39163;16.653;32043;-41.4;426;-56.452;427;-18.467;427;1.43;3373;1734;1686;1673;3005;2.711;941.297;60.697;29.65;12.776;0.963;-99.9
P73;10/09/2018 07:34;0;38.793381;15.21572;8;94;6977;8.218;17433;924.244;21106;7.958;39164;16.654;32053;-41;426;-56.452;427;-18.467;427;1.43;3351;1764;1686;1673;3006;2.693;949.5;60.697;29.65;12.78;0.946;-99.9
P74;10/09/2018 07:34;0;38.793385;15.215718;8;94;6956;8.117;17427;924.096;21029;7.92;39163;16.653;32046;-41.3;426;-56.452;427;-18.467;427;1.43;3346;1743;1682;1674;3006;2.689;943.758;60.499;29.7;12.78;0.942;-99.9
P75;10/09/2018 07:34;0;38.793381;15.215715;7;113;6949;8.083;17432;924.22;21024;7.917;39160;16.652;32047;-41.2;427;-56.44;427;-18.467;427;1.43;3348;1717;1679;1675;3007;2.691;936.648;60.35;29.75;12.785;0.944;-99.9
P76;10/09/2018 07:34;0;38.793381;15.215715;7;113;6955;8.112;17438;924.368;21024;7.917;39156;16.65;32043;-41.4;427;-56.44;427;-18.467;428;1.43;3344;1745;1674;1676;3006;2.688;944.305;60.103;29.8;12.78;0.941;-99.9
P77;10/09/2018 07:35;0;38.793381;15.215715;7;113;6924;7.962;17438;924.368;20929;7.87;39156;16.65;32057;-40.8;426;-56.452;427;-18.467;427;1.43;3365;1786;1671;1676;3007;2.704;955.516;59.954;29.8;12.785;0.957;-99.9
P78;10/09/2018 07:35;0;38.793381;15.215715;7;113;6921;7.948;17442;924.467;20856;7.834;39156;16.65;32037;-41.7;427;-56.44;428;-18.462;428;1.43;3368;1737;1668;1677;3008;2.707;942.117;59.806;29.85;12.789;0.959;-99.9
P79;10/09/2018 07:35;0;38.793381;15.215715;7;113;6936;8.02;17445;924.541;20891;7.851;39156;16.65;32052;-41;427;-56.44;427;-18.467;428;1.43;3432;1714;1671;1678;3009;2.758;935.828;59.954;29.9;12.793;1.008;-99.9
P80;10/09/2018 07:35;0;38.793385;15.215715;7;113;6938;8.03;17441;924.442;20896;7.854;39157;16.65;32042;-41.5;427;-56.44;428;-18.462;428;1.43;3455;1712;1673;1677;2991;2.776;935.281;60.054;29.85;12.72;1.025;-99.9
P81;10/09/2018 07:35;0;38.793385;15.215715;7;113;6939;8.035;17442;924.467;20855;7.833;39159;16.651;32035;-41.8;427;-56.44;428;-18.462;428;1.43;3375;1761;1676;1679;3005;2.712;948.68;60.202;29.95;12.776;0.964;-99.9
P82;10/09/2018 07:35;0;38.793385;15.215715;7;113;6942;8.049;17442;924.467;20811;7.811;39160;16.652;32038;-41.6;427;-56.44;428;-18.462;428;1.43;3516;1773;1676;1680;3008;2.825;951.961;60.202;30;12.789;1.072;-99.9
P83;10/09/2018 07:36;0;38.793385;15.215715;7;113;6959;8.131;17452;924.714;20864;7.838;39160;16.652;32025;-42.2;427;-56.44;428;-18.462;428;1.43;3369;1773;1676;1681;3008;2.708;951.961;60.202;30.05;12.789;0.96;-99.9
P84;10/09/2018 07:36;0;38.793385;15.215715;7;113;6970;8.184;17440;924.417;20871;7.841;39158;16.651;32054;-40.9;427;-56.44;428;-18.462;428;1.43;3431;1708;1672;1681;3009;2.757;934.188;60.004;30.05;12.793;1.007;-99.9
P85;10/09/2018 07:36;0;38.793385;15.215715;7;113;6957;8.121;17445;924.541;20862;7.837;39155;16.649;32045;-41.3;428;-56.429;429;-18.458;429;1.43;3451;1735;1669;1683;3009;2.773;941.57;59.855;30.15;12.793;1.022;-99.9
P86;10/09/2018 07:36;0;38.793385;15.215715;7;113;6957;8.121;17437;924.343;20865;7.838;39156;16.65;32030;-42;428;-56.429;428;-18.462;429;1.43;3358;1693;1664;1683;3008;2.699;930.086;59.608;30.15;12.789;0.951;-99.9
P87;10/09/2018 07:36;0;38.793385;15.215715;7;113;6964;8.155;17440;924.417;20794;7.803;39156;16.65;32034;-41.8;428;-56.429;428;-18.462;429;1.43;3378;1751;1663;1684;3010;2.715;945.945;59.558;30.2;12.797;0.967;-99.9
P88;10/09/2018 07:36;0;38.793385;15.215715;7;113;6977;8.218;17445;924.541;20788;7.8;39156;16.65;32033;-41.9;428;-56.429;429;-18.458;429;1.43;3370;1792;1661;1685;3009;2.708;957.156;59.459;30.25;12.793;0.96;-99.9
P89;10/09/2018 07:37;0;38.793385;15.215715;7;113;6937;8.025;17445;924.541;20804;7.808;39154;16.649;32020;-42.4;428;-56.429;429;-18.458;429;1.43;3361;1787;1659;1685;3022;2.701;955.789;59.361;30.25;12.846;0.954;-99.9
P90;10/09/2018 07:37;0;38.793385;15.215715;7;113;6958;8.126;17446;924.565;20826;7.819;39154;16.649;32037;-41.7;428;-56.429;429;-18.458;429;1.43;3349;1734;1658;1685;3006;2.692;941.297;59.311;30.25;12.78;0.944;-99.9
P91;10/09/2018 07:37;0;38.793385;15.215715;7;113;6955;8.112;17432;924.22;20876;7.844;39151;16.647;32025;-42.2;428;-56.429;429;-18.458;429;1.43;3342;1732;1655;1687;3006;2.686;940.75;59.162;30.35;12.78;0.939;-99.9
P92;10/09/2018 07:37;0;38.793388;15.215715;7;113;6954;8.107;17430;924.17;20879;7.845;39147;16.646;32030;-42;429;-56.417;429;-18.458;429;1.43;3343;1753;1648;1687;3006;2.687;946.492;58.816;30.35;12.78;0.94;-99.9
P93;10/09/2018 07:37;0;38.793388;15.215715;7;113;6948;8.078;17439;924.393;20893;7.852;39142;16.643;32020;-42.4;428;-56.429;429;-18.458;429;1.43;3363;1786;1642;1689;3007;2.703;955.516;58.519;30.45;12.785;0.955;-99.9
P94;10/09/2018 07:37;0;38.793388;15.215715;7;113;6964;8.155;17444;924.516;20911;7.861;39139;16.642;32030;-42;429;-56.417;429;-18.458;430;1.43;3385;1756;1637;1688;3008;2.72;947.312;58.271;30.4;12.789;0.972;-99.9
P95;10/09/2018 07:38;0;38.793388;15.215715;7;113;6978;8.223;17442;924.467;20827;7.819;39137;16.641;32038;-41.6;428;-56.429;429;-18.458;430;1.43;3392;1672;1633;1689;3008;2.726;924.344;58.074;30.45;12.789;0.977;-99.9
P96;10/09/2018 07:38;0;38.793388;15.215715;7;113;6965;8.16;17447;924.59;20875;7.843;39136;16.64;32031;-41.9;429;-56.417;429;-18.458;430;1.43;3523;1706;1634;1691;3009;2.831;933.641;58.123;30.55;12.793;1.077;-99.9
P97;10/09/2018 07:38;0;38.793388;15.215715;7;113;6987;8.266;17444;924.516;20866;7.839;39134;16.639;32032;-41.9;429;-56.417;430;-18.453;430;1.43;3351;1786;1626;1692;3008;2.693;955.516;57.727;30.6;12.789;0.946;-99.9
P98;10/09/2018 07:38;0;38.793388;15.215715;7;113;6984;8.251;17446;924.565;20888;7.85;39131;16.638;32028;-42.1;429;-56.417;430;-18.453;430;1.43;3440;1715;1624;1691;2992;2.764;936.102;57.628;30.55;12.724;1.014;-99.9
P99;10/09/2018 07:38;0;38.793388;15.215715;7;113;6981;8.237;17447;924.59;20916;7.864;39128;16.636;32028;-42.1;430;-56.405;430;-18.453;430;1.43;3362;1708;1618;1693;3001;2.702;934.188;57.331;30.65;12.76;0.954;-99.9
P100;10/09/2018 07:38;0;38.793388;15.215715;7;113;6974;8.203;17454;924.763;20943;7.877;39127;16.636;32013;-42.7;429;-56.417;430;-18.453;430;1.43;3428;1706;1616;1695;3008;2.755;933.641;57.232;30.75;12.789;1.005;-99.9
P101;10/09/2018 07:39;0;38.793388;15.215715;7;113;6958;8.126;17457;924.837;20930;7.87;39124;16.634;32018;-42.5;429;-56.417;430;-18.453;431;1.43;3355;1731;1612;1695;3008;2.696;940.477;57.034;30.75;12.789;0.949;-99.9
P102;10/09/2018 07:39;0;38.793388;15.215715;7;113;6975;8.208;17446;924.565;20935;7.873;39121;16.633;32022;-42.3;429;-56.417;430;-18.453;430;1.43;3533;1735;1609;1696;3009;2.839;941.57;56.886;30.8;12.793;1.084;-99.9
P103;10/09/2018 07:39;0;38.793388;15.215715;7;113;6975;8.208;17447;924.59;20944;7.877;39119;16.632;32020;-42.4;430;-56.405;430;-18.453;431;1.43;3371;1680;1608;1696;3009;2.709;926.531;56.836;30.8;12.793;0.961;-99.9
P104;10/09/2018 07:39;0;38.793388;15.215715;7;113;6971;8.189;17444;924.516;21054;7.932;39116;16.63;31999;-43.3;429;-56.417;430;-18.453;431;1.43;3365;1799;1602;1696;3009;2.704;959.07;56.539;30.8;12.793;0.957;-99.9
P105;10/09/2018 07:39;0;38.793388;15.215715;7;113;6976;8.213;17445;924.541;20979;7.895;39114;16.629;32015;-42.6;429;-56.417;430;-18.453;431;1.43;3444;1714;1599;1697;3009;2.768;935.828;56.39;30.85;12.793;1.017;-99.9
P106;10/09/2018 07:39;0;38.793388;15.215715;7;113;6963;8.15;17449;924.639;20910;7.861;39112;16.628;32021;-42.4;430;-56.405;430;-18.453;431;1.43;3519;1783;1598;1698;3010;2.827;954.695;56.341;30.9;12.797;1.074;-99.9
P107;10/09/2018 07:40;0;38.793388;15.215715;7;113;6967;8.17;17447;924.59;20920;7.866;39114;16.629;32007;-43;430;-56.405;430;-18.453;431;1.43;3407;1688;1594;1699;3024;2.738;928.719;56.143;30.95;12.854;0.989;-99.9
P108;10/09/2018 07:40;0;38.793388;15.215715;7;113;6956;8.117;17453;924.738;20927;7.869;39113;16.629;32014;-42.7;430;-56.405;431;-18.448;431;1.43;3370;1700;1593;1700;3024;2.708;932;56.093;31;12.854;0.96;-99.9
P109;10/09/2018 07:40;0;38.793388;15.215715;7;113;6953;8.102;17442;924.467;20849;7.83;39113;16.629;32005;-43.1;430;-56.405;430;-18.453;431;1.43;3383;1678;1591;1701;3006;2.719;925.984;55.994;31.05;12.78;0.97;-99.9
P110;10/09/2018 07:40;0;38.793388;15.215715;7;113;6969;8.179;17436;924.318;20830;7.821;39108;16.626;32036;-41.7;430;-56.405;431;-18.448;431;1.43;3375;1678;1585;1701;3007;2.712;925.984;55.697;31.05;12.785;0.964;-99.9
P111;10/09/2018 07:40;0;38.793388;15.215715;7;113;6972;8.194;17446;924.565;20887;7.849;39107;16.626;32031;-41.9;430;-56.405;431;-18.448;431;1.43;3505;1779;1583;1701;3008;2.816;953.602;55.598;31.05;12.789;1.063;-99.9
