;POINT;TREATED_CO2_100;RAW_CO2_100;MARKER;LONGITUDE;LATITUDE;NB_SATELLITE;COUNT_CO2_100;CO2_100;COUNT_P_atm;P_atm;COUNT_CO2_10;CO2_10;COUNT_T_atm;T_atm ;COUNT_SP;SP ;COUNT_SO2;SO2;COUNT_H2S;H2S ;COUNT_PYR;PYR ;COUNT_V_FLUX;V_FLUX;COUNT_P_in;P_in;COUNT_Rh;Rh;COUNT_T_in;T_in;COUNT_V_BAT;V_BAT;PUMP_FLUX;Thermocouple;K_Coeff;Slope;R-squared;CO2_FLUX;Nb_POINT;Sl_POINT_min;Sl_POINT_MIN;Delta_CO2_FLUX;CO2_POINT_1;CO2_POINT_2;CO2_POINT_3;CO2_POINT_4;CO2_POINT_5;CO2_POINT_6;CO2_POINT_7;CO2_POINT_8;CO2_POINT_9;CO2_POINT_10;CO2_POINT_11;CO2_POINT_12;CO2_POINT_13;CO2_POINT_14;CO2_POINT_15;CO2_POINT_16;CO2_POINT_17;CO2_POINT_18;CO2_POINT_19;CO2_POINT_20;CO2_POINT_21;CO2_POINT_22;CO2_POINT_23;CO2_POINT_24;CO2_POINT_25;CO2_POINT_26;CO2_POINT_27;CO2_POINT_28;CO2_POINT_29;CO2_POINT_30;CO2_POINT_31;CO2_POINT_32;CO2_POINT_33;CO2_POINT_34;CO2_POINT_35;CO2_POINT_36;CO2_POINT_37;CO2_POINT_38;CO2_POINT_39;CO2_POINT_40;CO2_POINT_41;CO2_POINT_42;CO2_POINT_43;CO2_POINT_44;CO2_POINT_45;CO2_POINT_46;CO2_POINT_47;CO2_POINT_48;CO2_POINT_49;CO2_POINT_50;CO2_POINT_51;CO2_POINT_52;CO2_POINT_53;CO2_POINT_54;CO2_POINT_55;CO2_POINT_56;CO2_POINT_57;CO2_POINT_58;CO2_POINT_59;CO2_POINT_60;CO2_POINT_61;CO2_POINT_62;CO2_POINT_63;CO2_POINT_64;CO2_POINT_65;CO2_POINT_66;CO2_POINT_67;CO2_POINT_68;CO2_POINT_69;CO2_POINT_70;CO2_POINT_71;CO2_POINT_72;CO2_POINT_73;CO2_POINT_74;CO2_POINT_75;CO2_POINT_76;CO2_POINT_77;CO2_POINT_78;CO2_POINT_79;CO2_POINT_80;CO2_POINT_81;CO2_POINT_82;CO2_POINT_83;CO2_POINT_84;CO2_POINT_85;CO2_POINT_86;CO2_POINT_87;CO2_POINT_88;CO2_POINT_89;CO2_POINT_90;CO2_POINT_91;CO2_POINT_92;CO2_POINT_93;CO2_POINT_94;CO2_POINT_95;CO2_POINT_96;CO2_POINT_97;CO2_POINT_98;CO2_POINT_99;CO2_POINT_100;CO2_POINT_101;CO2_POINT_102;CO2_POINT_103;CO2_POINT_104;CO2_POINT_105;CO2_POINT_106;CO2_POINT_107;CO2_POINT_108;CO2_POINT_109;CO2_POINT_110;CO2_POINT_111;CO2_POINT_112;CO2_POINT_113;CO2_POINT_114;CO2_POINT_115;CO2_POINT_116;CO2_POINT_117;CO2_POINT_118;CO2_POINT_119;CO2_POINT_120;CO2_POINT_121;CO2_POINT_122;CO2_POINT_123;CO2_POINT_124;CO2_POINT_125;CO2_POINT_126;CO2_POINT_127;CO2_POINT_128;CO2_POINT_129;CO2_POINT_130;CO2_POINT_131;CO2_POINT_132;CO2_POINT_133;CO2_POINT_134;CO2_POINT_135;CO2_POINT_136;CO2_POINT_137;CO2_POINT_138;CO2_POINT_139;CO2_POINT_140;CO2_POINT_141;CO2_POINT_142;CO2_POINT_143;CO2_POINT_144;CO2_POINT_145;CO2_POINT_146;CO2_POINT_147;CO2_POINT_148;CO2_POINT_149;CO2_POINT_150;CO2_POINT_151;CO2_POINT_152;CO2_POINT_153;CO2_POINT_154;CO2_POINT_155;CO2_POINT_156;CO2_POINT_157;CO2_POINT_158;CO2_POINT_159;CO2_POINT_160;CO2_POINT_161;CO2_POINT_162;CO2_POINT_163;CO2_POINT_164;CO2_POINT_165;CO2_POINT_166;CO2_POINT_167;CO2_POINT_168;CO2_POINT_169;CO2_POINT_170;CO2_POINT_171;CO2_POINT_172;CO2_POINT_173;CO2_POINT_174;CO2_POINT_175;CO2_POINT_176;CO2_POINT_177;CO2_POINT_178;CO2_POINT_179;CO2_POINT_180;CO2_POINT_181;CO2_POINT_182;CO2_POINT_183;CO2_POINT_184;CO2_POINT_185;CO2_POINT_186;CO2_POINT_187;CO2_POINT_188;CO2_POINT_189;CO2_POINT_190;CO2_POINT_191;CO2_POINT_192;CO2_POINT_193;CO2_POINT_194;CO2_POINT_195;CO2_POINT_196;CO2_POINT_197;CO2_POINT_198;CO2_POINT_199;CO2_POINT_200;CO2_POINT_201;CO2_POINT_202;CO2_POINT_203;CO2_POINT_204;CO2_POINT_205;CO2_POINT_206;CO2_POINT_207;CO2_POINT_208;CO2_POINT_209;CO2_POINT_210;CO2_POINT_211;CO2_POINT_212;CO2_POINT_213;CO2_POINT_214;CO2_POINT_215;CO2_POINT_216;CO2_POINT_217;CO2_POINT_218;CO2_POINT_219;CO2_POINT_220;CO2_POINT_221;CO2_POINT_222;CO2_POINT_223;CO2_POINT_224;CO2_POINT_225;CO2_POINT_226;CO2_POINT_227;CO2_POINT_228;CO2_POINT_229;CO2_POINT_230;CO2_POINT_231;CO2_POINT_232;CO2_POINT_233;CO2_POINT_234;CO2_POINT_235;CO2_POINT_236;CO2_POINT_237;CO2_POINT_238;CO2_POINT_239;CO2_POINT_240;CO2_POINT_241;CO2_POINT_242;CO2_POINT_243;CO2_POINT_244;CO2_POINT_245;CO2_POINT_246;CO2_POINT_247;CO2_POINT_248;CO2_POINT_249;CO2_POINT_250;CO2_POINT_251;CO2_POINT_252;CO2_POINT_253;CO2_POINT_254;CO2_POINT_255;CO2_POINT_256;CO2_POINT_257;CO2_POINT_258;CO2_POINT_259;CO2_POINT_260;CO2_POINT_261;CO2_POINT_262;CO2_POINT_263;CO2_POINT_264;CO2_POINT_265;CO2_POINT_266;CO2_POINT_267;CO2_POINT_268;CO2_POINT_269;CO2_POINT_270;CO2_POINT_271;CO2_POINT_272;CO2_POINT_273;CO2_POINT_274;CO2_POINT_275;CO2_POINT_276;CO2_POINT_277;CO2_POINT_278;CO2_POINT_279;CO2_POINT_280;CO2_POINT_281;CO2_POINT_282;CO2_POINT_283;CO2_POINT_284;CO2_POINT_285;CO2_POINT_286;CO2_POINT_287;CO2_POINT_288;CO2_POINT_289;CO2_POINT_290;CO2_POINT_291;CO2_POINT_292;CO2_POINT_293;CO2_POINT_294;CO2_POINT_295;CO2_POINT_296;CO2_POINT_297;CO2_POINT_298;CO2_POINT_299;CO2_POINT_300;MISSING;TIMELAG
2018-01-18 11:54:00;P5872;477.26116505;478.159267426;0.0;38.791599;15.211933;6.0;5425.0;477.26116505;6824.0;37811.0;394.0;3325333.51993;394.0;394.0;1890.0;1582.0;1631.0;1433.0;3002.0;0.742;916.169;0.836;15.991;-56.833;1.431;-18.616;1.431;1.526;899.734;57.974;17.65;12.764;-0.165;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:01;P5873;475.8242909;476.566606619;0.0;38.791599;15.211933;6.0;5407.0;475.8242909;6807.0;40000.0;400.0;3477320.63536;500.0;750.0;1939.0;1585.0;1689.0;1431.0;2989.0;1.0;938.0;2.0;13.0;-60.0;1.7;-20.0;1.7;1.565;900.555;57.974;17.55;12.711;-0.128;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:02;P5874;477.749875192;478.336233527;0.0;38.791599;15.211937;6.0;5427.0;477.749875192;6829.0;37815.0;393.0;3325333.51993;394.0;394.0;1911.0;1582.0;1632.0;1432.0;2989.0;0.752;916.515;0.838;15.993;-56.845;1.431;-18.616;1.431;1.543;899.734;58.024;17.6;12.711;-0.149;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:03;P5875;477.198084731;477.628373674;1.0;38.791599;15.211938;6.0;5419.0;477.198084731;6817.0;37817.0;393.0;3325333.51993;394.0;394.0;1905.0;1578.0;1630.0;1432.0;2989.0;0.713;916.639;0.832;15.994;-56.845;1.431;-18.616;1.431;1.538;898.641;57.925;17.6;12.711;-0.154;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:04;P5876;477.619653438;477.893819697;0.0;38.791599;15.211938;6.0;5422.0;477.619653438;6818.0;37818.0;393.0;3325333.51993;394.0;395.0;1900.0;1574.0;1630.0;1433.0;2989.0;0.727;916.614;0.833;15.994;-56.845;1.431;-18.616;1.431;1.534;897.547;57.925;17.65;12.711;-0.158;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:05;P5877;479.014541401;479.132590374;0.0;38.791599;15.211938;6.0;5436.0;479.014541401;6828.0;37820.0;393.0;3325333.51993;394.0;395.0;1909.0;1581.0;1630.0;1433.0;2989.0;0.795;916.663;0.838;15.995;-56.845;1.431;-18.616;1.431;1.542;899.461;57.925;17.65;12.711;-0.151;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:06;P5878;477.843341772;477.8053375;1.0;38.791599;15.211938;6.0;5421.0;477.843341772;6830.0;37822.0;393.0;3325333.51993;394.0;395.0;1913.0;1576.0;1631.0;1433.0;2989.0;0.723;916.416;0.839;15.996;-56.845;1.431;-18.616;1.431;1.545;898.094;57.974;17.65;12.711;-0.148;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:07;P5879;478.264719564;478.07078466;0.0;38.791599;15.211938;6.0;5424.0;478.264719564;6819.0;37824.0;393.0;3325333.51993;394.0;394.0;1911.0;1573.0;1630.0;1431.0;2988.0;0.737;916.367;0.833;15.997;-56.845;1.431;-18.616;1.431;1.543;897.273;57.925;17.55;12.707;-0.149;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:08;P5880;478.243504138;477.893819697;0.0;38.791599;15.211937;6.0;5422.0;478.243504138;6836.0;37827.0;393.0;3300444.24026;394.0;394.0;1892.0;1570.0;1630.0;1432.0;2990.0;0.727;916.342;0.842;15.998;-56.845;1.431;-18.616;1.431;1.528;896.453;57.925;17.6;12.715;-0.164;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
2018-01-18 11:54:09;P5881;477.160280682;476.655086166;0.0;38.791595;15.211935;6.0;5408.0;477.160280682;6806.0;37827.0;393.0;3325333.51993;394.0;394.0;1883.0;1571.0;1626.0;1432.0;2990.0;0.66;916.515;0.827;15.998;-56.845;1.431;-18.616;1.431;1.521;896.727;57.727;17.6;12.715;-0.171;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0
